epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.6224,1.62497,3.04482,1.69402,0.01306,0.97917,0.6315,0.19712,1.56251,3.0329,1.59133,0.00012,0.00012,0.00012
2,49.8701,1.51025,1.99687,1.38191,0.21784,0.95833,0.82824,0.3057,1.73496,2.63999,1.43436,0.000258284,0.000258284,0.000258284
3,74.8474,1.46108,1.70821,1.3214,0.93426,0.59229,0.88813,0.32561,1.60442,2.47461,1.4188,0.00039472,0.00039472,0.00039472
4,99.9231,1.25783,1.51282,1.22562,0.96524,0.57856,0.90273,0.39604,1.57308,2.31936,1.36387,0.000529308,0.000529308,0.000529308
5,122.684,1.37218,1.54192,1.28311,0.74125,0.77596,0.73008,0.26707,1.53873,2.38079,1.49848,0.000662048,0.000662048,0.000662048
6,147.555,1.28733,1.53297,1.28876,0.7814,0.8125,0.79567,0.29389,1.53026,2.14646,1.44393,0.00079294,0.00079294,0.00079294
7,172.844,1.21206,1.42359,1.24256,0.83248,0.85417,0.85126,0.3279,1.59692,2.04466,1.38794,0.000921984,0.000921984,0.000921984
8,194.763,1.20401,1.41646,1.2154,0.76967,0.76584,0.6641,0.27108,1.40497,2.24205,1.40511,0.00104918,0.00104918,0.00104918
9,219.84,1.1716,1.39116,1.188,0.78079,0.79167,0.77079,0.33668,1.43431,2.12629,1.42016,0.00117453,0.00117453,0.00117453
10,245.25,1.14984,1.36207,1.17577,0.69666,0.72917,0.6657,0.2569,1.4716,2.25229,1.46476,0.00129803,0.00129803,0.00129803
11,267.273,1.1511,1.37887,1.22148,0.802,0.8125,0.80048,0.3155,1.54922,1.97113,1.55853,0.00141968,0.00141968,0.00141968
12,292,1.12477,1.31831,1.19952,0.78744,0.84905,0.85894,0.31764,1.50228,1.95619,1.43823,0.00153948,0.00153948,0.00153948
13,316.765,1.2754,1.51106,1.28943,0.55993,0.64583,0.59216,0.23161,1.49155,2.22402,1.54363,0.00165744,0.00165744,0.00165744
14,338.552,1.16359,1.32824,1.22612,0.55993,0.64583,0.59216,0.23161,1.49155,2.22402,1.54363,0.00177355,0.00177355,0.00177355
15,363.259,1.22376,1.35101,1.2117,0.64592,0.64583,0.59521,0.18795,1.68491,2.32746,1.61724,0.0018152,0.0018152,0.0018152
16,388.005,1.13435,1.27998,1.14152,0.773,0.85137,0.8038,0.3976,1.46316,1.61561,1.55549,0.001802,0.001802,0.001802
17,409.519,1.17874,1.28908,1.21161,0.67556,0.79167,0.67542,0.28318,1.61694,2.16614,1.55124,0.0017888,0.0017888,0.0017888
18,434.489,1.18809,1.30325,1.2251,0.61578,0.73462,0.61198,0.22886,1.65282,2.31496,1.62021,0.0017756,0.0017756,0.0017756
19,459.08,1.13482,1.21114,1.19909,0.71905,0.58333,0.59551,0.17418,1.7951,2.19514,1.72603,0.0017624,0.0017624,0.0017624
20,480.93,1.21995,1.30055,1.2476,0.64167,0.59701,0.58227,0.21704,1.58267,2.02854,1.52629,0.0017492,0.0017492,0.0017492
21,505.869,1.1778,1.28154,1.21327,0.53717,0.58035,0.57772,0.25375,1.58772,1.8139,1.49188,0.001736,0.001736,0.001736
22,530.469,1.16756,1.29224,1.21749,0.53717,0.58035,0.57772,0.25375,1.58772,1.8139,1.49188,0.0017228,0.0017228,0.0017228
23,552.338,1.06662,1.20082,1.13888,0.53317,0.875,0.72911,0.36872,1.54893,1.53966,1.45716,0.0017096,0.0017096,0.0017096
24,576.836,1.16862,1.2446,1.19367,0.79857,0.91667,0.87818,0.38763,1.51169,1.61157,1.50233,0.0016964,0.0016964,0.0016964
25,601.436,1.13691,1.16451,1.15346,0.82565,0.8125,0.86011,0.411,1.54797,1.65908,1.51592,0.0016832,0.0016832,0.0016832
26,623.322,1.03721,1.10102,1.12034,0.78449,0.9101,0.91121,0.4315,1.48753,1.58372,1.38457,0.00167,0.00167,0.00167
27,648.114,1.02553,1.1152,1.11952,0.76599,0.8125,0.84315,0.41242,1.4467,1.48482,1.35305,0.0016568,0.0016568,0.0016568
28,672.765,1.01698,1.09414,1.12893,0.81132,0.80633,0.83739,0.42174,1.44947,1.45387,1.39951,0.0016436,0.0016436,0.0016436
29,694.524,0.96845,1.02079,1.11098,0.82443,0.85417,0.87546,0.43599,1.40778,1.49263,1.38496,0.0016304,0.0016304,0.0016304
30,719.607,0.95712,1.03078,1.09159,0.82443,0.85417,0.87546,0.43599,1.40778,1.49263,1.38496,0.0016172,0.0016172,0.0016172
